voter_country,receiver_country,Score
Albania,Armenia,-0.7384920634920635
Albania,Australia,0.9900675255921995
Albania,Austria,-0.8361018826135105
Albania,Azerbaijan,-0.6196546948985974
Albania,Belgium,-0.6219093406593407
Albania,Bulgaria,3.596590425078797
Albania,Croatia,2.938178780284043
Albania,Cyprus,1.2762434705668428
Albania,Czechia,-1.3239329268292683
Albania,France,0.0016136515392312248
Albania,Georgia,-0.5714285714285714
Albania,Germany,0.7296142488002952
Albania,Hungary,0.1786637135474344
Albania,Israel,-1.331324251040942
Albania,Italy,5.541981762013193
Albania,Latvia,-1.5
Albania,Lithuania,-1.7394406465627397
Albania,Malta,-0.6912951547097889
Albania,Poland,-1.2546209273182958
Albania,Russia,0.6298132761547396
Albania,Serbia,-1.9387170449138686
Albania,Spain,-0.12807173918915268
Albania,Sweden,-0.7966157204233959
Albania,Netherlands,0.5923743348729168
Albania,Ukraine,-1.7701000937047446
Albania,United Kingdom,0.21570724054416615
Armenia,Australia,-1.4099324744078006
Armenia,Austria,1.8305647840531563
Armenia,Azerbaijan,-1.313029907084785
Armenia,Belgium,-0.8035714285714285
Armenia,Bulgaria,-2.281469176818014
Armenia,Croatia,-1.619047619047619
Armenia,Cyprus,5.557133190321236
Armenia,Czechia,0.6760670731707317
Armenia,France,4.241198832778676
Armenia,Georgia,7.428571428571429
Armenia,Germany,-0.7244629014396456
Armenia,Hungary,-1.154669619785899
Armenia,Israel,1.7049750013149723
Armenia,Italy,-1.342046918676915
Armenia,Latvia,-1.5
Armenia,Lithuania,-1.5756644518272427
Armenia,Malta,5.065621370499419
Armenia,Poland,-1.2546209273182958
Armenia,Russia,4.726771196283392
Armenia,Serbia,-1.14775528050131
Armenia,Spain,0.04631391297301679
Armenia,Sweden,0.17317909540347384
Armenia,Netherlands,0.11084920184750006
Armenia,Ukraine,-0.39560616657923886
Armenia,United Kingdom,-0.9411513113470006
Australia,Armenia,-1.4051587301587303
Australia,Austria,1.2676604301451304
Australia,Azerbaijan,-1.0196546948985972
Australia,Belgium,2.012998843262001
Australia,Bulgaria,0.0965904250787972
Australia,Croatia,-0.39515455304928987
Australia,Cyprus,0.6095768039001762
Australia,Czechia,-0.07393292682926828
Australia,France,0.14447079439637409
Australia,Georgia,-0.5714285714285714
Australia,Germany,-0.27038575119970465
Australia,Hungary,-2.1546696197858988
Australia,Israel,0.5020090822923914
Australia,Italy,-2.2711967162477653
Australia,Latvia,-1.5
Australia,Lithuania,-0.48944064656273967
Australia,Malta,5.308704845290211
Australia,Poland,-1.9623015873015872
Australia,Russia,-4.036853390511927
Australia,Serbia,-0.5387170449138686
Australia,Spain,0.03859492747751392
Australia,Sweden,1.060527136719461
Australia,Netherlands,-0.5742923317937499
Australia,Ukraine,0.2298999062952552
Australia,United Kingdom,2.3823739072108325
Austria,Armenia,-1.4051587301587303
Austria,Australia,-0.40993247440780056
Austria,Azerbaijan,-1.0196546948985972
Austria,Belgium,0.12809065934065944
Austria,Bulgaria,-0.6534095749212028
Austria,Croatia,2.60484544695071
Austria,Cyprus,-1.7632446774250519
Austria,Czechia,1.6760670731707317
Austria,France,-1.112152494256862
Austria,Georgia,-0.5714285714285714
Austria,Germany,1.7118498072423587
Austria,Hungary,0.5119970468807679
Austria,Israel,-0.9979909177076086
Austria,Italy,1.6848389048703365
Austria,Latvia,-1.5
Austria,Lithuania,-1.9894406465627397
Austria,Malta,-0.02462848804312216
Austria,Poland,3.0376984126984126
Austria,Russia,-1.3701867238452603
Austria,Serbia,5.061282955086131
Austria,Spain,-1.1280717391891526
Austria,Sweden,-0.5109014347091103
Austria,Netherlands,0.5923743348729169
Austria,Ukraine,0.029302553491660038
Austria,United Kingdom,0.3823739072108328
Azerbaijan,Armenia,-1.4051587301587303
Azerbaijan,Australia,-0.8099324744078006
Azerbaijan,Austria,-1.5027685492801772
Azerbaijan,Belgium,-0.8719093406593407
Azerbaijan,Bulgaria,1.5965904250787972
Azerbaijan,Croatia,-1.619047619047619
Azerbaijan,Cyprus,0.7762434705668428
Azerbaijan,Czechia,0.5566431322207959
Azerbaijan,France,-0.44548582759019517
Azerbaijan,Georgia,0.4285714285714286
Azerbaijan,Germany,-0.103719084533038
Azerbaijan,Hungary,2.5119970468807677
Azerbaijan,Israel,4.835342415625725
Azerbaijan,Italy,0.39912461915605074
Azerbaijan,Latvia,-1.5
Azerbaijan,Lithuania,-2.7394406465627394
Azerbaijan,Malta,2.308704845290211
Azerbaijan,Poland,-1.628968253968254
Azerbaijan,Russia,4.296479942821406
Azerbaijan,Serbia,-1.3387170449138686
Azerbaijan,Spain,0.7052615941441807
Azerbaijan,Sweden,-0.36804429185196735
Azerbaijan,Netherlands,-0.40762566512708326
Azerbaijan,Ukraine,1.8626358868249937
Azerbaijan,United Kingdom,0.3823739072108328
Belarus,Armenia,1.6547619047619047
Belarus,Australia,-1.2499155930097507
Belarus,Austria,-1.5027685492801772
Belarus,Azerbaijan,2.940960123886953
Belarus,Belgium,-0.6428571428571427
Belarus,Bulgaria,1.0518641565153193
Belarus,Croatia,-1.619047619047619
Belarus,Cyprus,-1.4220045647300326
Belarus,Czechia,-0.05691056910569106
Belarus,France,-0.7592543824109337
Belarus,Georgia,-0.5714285714285714
Belarus,Germany,-0.868078626799557
Belarus,Hungary,2.1786637135474347
Belarus,Israel,-0.15167598519839012
Belarus,Italy,-2.68083353591011
Belarus,Latvia,3.5
Belarus,Lithuania,-2.200996677740864
Belarus,Malta,-0.4343786295005807
Belarus,Poland,-0.13095238095238088
Belarus,Russia,1.167440960123887
Belarus,Serbia,-1.6553403740017467
Belarus,Spain,-0.517107608783729
Belarus,Sweden,-1.0165471463684734
Belarus,Netherlands,0.4010615023093751
